Content;Label
Sangat baik;Positif
Alhamdulillah sangat membantu dan terjangkau..terimakasih dokter, dokter ramah, adem;Positif
Terima kasih, sangat membantu untuk yg LDR an;Positif
Gak ribet, konsul pun lumayan cepet;Positif
Halodoc terpercaya,tepat dn tidak buang waktu bnyk untuk antri...terima kasih halodoc;Positif
Cepat dan Tanggap;Positif
Dokter nya ramah ,penjelasannya juga mudah di fahami;Positif
Mantab;Positif
dokternya baik dan ramah;Positif
Kami puas dengan pelayanan yg diberikan;Positif
Dokternya baik banget;Positif
Sangat membantu sekali;Positif
Dokternya ramah;Positif
Cepat tangap , aplikasi yg sangat membantu .;Positif
Dokternya responsif, puas sesuai dengan yang saya harapkan, tidak perlu keluar rumah, terima kasih halodoc, sukses terus,;Positif
Sangat membatu d saat urgent🙏👍;Positif
Sangat membantu;Positif
Membantu;Positif
Sangat membantu;Positif
Terimakasih halodoc sangat bermanfaat;Positif
Sangat membantu disaat kita tdk bisa pergi ke rs/klinik/puskesmas;Positif
Sangat membantu;Positif
Ngebantu banget;Positif
Terima kasih sudah banyak membantu;Positif
Sangat mengecewakan, tidak sesuai ekspetasi penanganan respon komplain pengiriman barang tidak sesuai terlalu lama padahal kondisi malam dan urgent obat nya;Positif
Sangat membantu sekali adanya halodoc dan bisa konsultasi sama dokternya dan terjangkau biaya konsultasinya..terimakasih dokter;Positif
Sangat membantu walopun ada dokter yg tidak ramah heheh terimakasih halodoc😊😊;Positif
Dokternya ramah dan langsung respon keluhan pasien;Positif
Konsultasinya langsung dengan dokter spesialis dan harganya terjangkau;Positif
Sangat membantu sekali disaat kita emergency... Terima kasih Halodoc ... love u;Positif
Terbaik sangat membantu, terima kasih halodoc;Positif
Trimakasih atas saran nya;Positif
Terima kasih dokternya komunikatif, semoga obatnya cocok;Positif
Seesaw the first time eew;Negatif
Orderan reguler 1 - 3 hari nyampe Udh masuk hari ke 3 barang dikirim juga belom. Mana obat mahal dan obatnya ga boleh putus minumnya. Di telp ke CS mau pembatalan mau pesen ulang biar ubah pengiriman pake instan ga bisa juga. Ga membantu sama sekali. Klo smp terjadi apa2 sm saya saya tuntut halodoc;Negatif
Mantap;Positif
Bagus sekali Dan membantu sekali;Positif
