Content,Label,Cleantext,Case_Folding,Tokenization,Stopword_Removal,Stemming
Sangat baik,Positif,Sangat baik,sangat baik,"['sangat', 'baik']",,
"Alhamdulillah sangat membantu dan terjangkau..terimakasih dokter, dokter ramah, adem",Positif,Alhamdulillah sangat membantu dan terjangkau terimakasih dokter dokter ramah adem,alhamdulillah sangat membantu dan terjangkau terimakasih dokter dokter ramah adem,"['alhamdulillah', 'sangat', 'membantu', 'dan', 'terjangkau', 'terimakasih', 'dokter', 'dokter', 'ramah', 'adem']",alhamdulillah membantu terjangkau terimakasih dokter dokter ramah adem,alhamdulillah bantu jangkau terimakasih dokter dokter ramah adem
"Terima kasih, sangat membantu untuk yg LDR an",Positif,Terima kasih sangat membantu untuk yg LDR an,terima kasih sangat membantu untuk yg ldr an,"['terima', 'kasih', 'sangat', 'membantu', 'untuk', 'yg', 'ldr', 'an']",terima kasih membantu yg ldr an,terima kasih bantu yg ldr an
"Gak ribet, konsul pun lumayan cepet",Positif,Gak ribet konsul pun lumayan cepet,gak ribet konsul pun lumayan cepet,"['gak', 'ribet', 'konsul', 'pun', 'lumayan', 'cepet']",gak ribet konsul lumayan cepet,gak ribet konsul lumayan cepet
"Halodoc terpercaya,tepat dn tidak buang waktu bnyk untuk antri...terima kasih halodoc",Positif,Halodoc terpercaya tepat dn tidak buang waktu bnyk untuk antri terima kasih halodoc,halodoc terpercaya tepat dn tidak buang waktu bnyk untuk antri terima kasih halodoc,"['halodoc', 'terpercaya', 'tepat', 'dn', 'tidak', 'buang', 'waktu', 'bnyk', 'untuk', 'antri', 'terima', 'kasih', 'halodoc']",halodoc terpercaya dn buang bnyk antri terima kasih halodoc,halodoc percaya dn buang bnyk antri terima kasih halodoc
Cepat dan Tanggap,Positif,Cepat dan Tanggap,cepat dan tanggap,"['cepat', 'dan', 'tanggap']",cepat tanggap,cepat tanggap
"Dokter nya ramah ,penjelasannya juga mudah di fahami",Positif,Dokter nya ramah penjelasannya juga mudah di fahami,dokter nya ramah penjelasannya juga mudah di fahami,"['dokter', 'nya', 'ramah', 'penjelasannya', 'juga', 'mudah', 'di', 'fahami']",dokter nya ramah penjelasannya mudah fahami,dokter nya ramah jelas mudah fahami
Mantab,Positif,Mantab,mantab,['mantab'],mantab,mantab
dokternya baik dan ramah,Positif,dokternya baik dan ramah,dokternya baik dan ramah,"['dokternya', 'baik', 'dan', 'ramah']",dokternya ramah,dokter ramah
Kami puas dengan pelayanan yg diberikan,Positif,Kami puas dengan pelayanan yg diberikan,kami puas dengan pelayanan yg diberikan,"['kami', 'puas', 'dengan', 'pelayanan', 'yg', 'diberikan']",puas pelayanan yg,puas layan yg
Dokternya baik banget,Positif,Dokternya baik banget,dokternya baik banget,"['dokternya', 'baik', 'banget']",dokternya banget,dokter banget
Sangat membantu sekali,Positif,Sangat membantu sekali,sangat membantu sekali,"['sangat', 'membantu', 'sekali']",membantu,bantu
Dokternya ramah,Positif,Dokternya ramah,dokternya ramah,"['dokternya', 'ramah']",dokternya ramah,dokter ramah
"Cepat tangap , aplikasi yg sangat membantu .",Positif,Cepat tangap aplikasi yg sangat membantu,cepat tangap aplikasi yg sangat membantu,"['cepat', 'tangap', 'aplikasi', 'yg', 'sangat', 'membantu']",cepat tangap aplikasi yg membantu,cepat tangap aplikasi yg bantu
"Dokternya responsif, puas sesuai dengan yang saya harapkan, tidak perlu keluar rumah, terima kasih halodoc, sukses terus,",Positif,Dokternya responsif puas sesuai dengan yang saya harapkan tidak perlu keluar rumah terima kasih halodoc sukses terus,dokternya responsif puas sesuai dengan yang saya harapkan tidak perlu keluar rumah terima kasih halodoc sukses terus,"['dokternya', 'responsif', 'puas', 'sesuai', 'dengan', 'yang', 'saya', 'harapkan', 'tidak', 'perlu', 'keluar', 'rumah', 'terima', 'kasih', 'halodoc', 'sukses', 'terus']",dokternya responsif puas sesuai harapkan rumah terima kasih halodoc sukses,dokter responsif puas sesuai harap rumah terima kasih halodoc sukses
Sangat membatu d saat urgentðŸ™ðŸ‘,Positif,Sangat membatu d saat urgent,sangat membatu d saat urgent,"['sangat', 'membatu', 'd', 'saat', 'urgent']",membatu d urgent,batu d urgent
Sangat membantu,Positif,Sangat membantu,sangat membantu,"['sangat', 'membantu']",membantu,bantu
Membantu,Positif,Membantu,membantu,['membantu'],membantu,bantu
Sangat membantu,Positif,Sangat membantu,sangat membantu,"['sangat', 'membantu']",membantu,bantu
Terimakasih halodoc sangat bermanfaat,Positif,Terimakasih halodoc sangat bermanfaat,terimakasih halodoc sangat bermanfaat,"['terimakasih', 'halodoc', 'sangat', 'bermanfaat']",terimakasih halodoc bermanfaat,terimakasih halodoc manfaat
Sangat membantu disaat kita tdk bisa pergi ke rs/klinik/puskesmas,Positif,Sangat membantu disaat kita tdk bisa pergi ke rs klinik puskesmas,sangat membantu disaat kita tdk bisa pergi ke rs klinik puskesmas,"['sangat', 'membantu', 'disaat', 'kita', 'tdk', 'bisa', 'pergi', 'ke', 'rs', 'klinik', 'puskesmas']",membantu disaat tdk pergi rs klinik puskesmas,bantu saat tdk pergi rs klinik puskesmas
Sangat membantu,Positif,Sangat membantu,sangat membantu,"['sangat', 'membantu']",membantu,bantu
Ngebantu banget,Positif,Ngebantu banget,ngebantu banget,"['ngebantu', 'banget']",ngebantu banget,ngebantu banget
Terima kasih sudah banyak membantu,Positif,Terima kasih sudah banyak membantu,terima kasih sudah banyak membantu,"['terima', 'kasih', 'sudah', 'banyak', 'membantu']",terima kasih membantu,terima kasih bantu
